,5f1329d099e14e3e74a6bfc1,5f134db51b15b323bc6c18b5,5f1353c7e1f31a0e685dc17b,5f1353eee1f31a0e685dc17c,5f13542be1f31a0e685dc17d,5f13544ae1f31a0e685dc17e,5f135482e1f31a0e685dc17f,5f13a354587952078e294b23,5f164c956443183c2ceae540,5f1993f694b3f91cb24a8a34,5f1afee00745020017549dae,5f1f42b8da44cf0017003d67,5f1f457cda44cf0017003d70,5f1f464bda44cf0017003d77,5f1f49e5da44cf0017003d80,5f1f4a71da44cf0017003d87,5f1f4b15da44cf0017003d8e,5f1f4c57da44cf0017003d99,5f1f4d2eda44cf0017003da1,5f1f4dd6da44cf0017003da8,5f1f5a6adea9c02b64436d8b,5f1f5b09dea9c02b64436d94
5f164e3a6443183c2ceae543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5f164fac6443183c2ceae545,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
5f1651826443183c2ceae546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5f1652966443183c2ceae547,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5f1654896443183c2ceae548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5f1654c26443183c2ceae549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5f1654fe6443183c2ceae54a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5f1655316443183c2ceae54b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5f1655676443183c2ceae54c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5f1655b56443183c2ceae54d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5f1656106443183c2ceae54e,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
5f1657116443183c2ceae54f,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,1,0
5f16575e6443183c2ceae550,0,0,3,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0
5f1657e46443183c2ceae551,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5f1658556443183c2ceae552,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0
5f1659846443183c2ceae553,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5f165a616443183c2ceae554,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0
5f165d166443183c2ceae556,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,3,0,2,0
5f165db36443183c2ceae557,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4
5f165e036443183c2ceae558,0,0,0,6,0,0,0,0,6,0,0,4,3,0,0,0,0,0,0,0,2,12
5f165ecf6443183c2ceae559,6,0,0,6,0,0,0,0,5,0,0,4,0,0,0,0,0,6,4,0,0,3
5f1661436443183c2ceae55a,0,0,0,5,0,0,0,0,5,0,0,3,0,0,3,0,4,0,0,0,3,0
5f16618b6443183c2ceae55b,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,0,2,0,0,0,0,0
5f1661df6443183c2ceae55c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5f19920a94b3f91cb24a8a33,0,0,0,4,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,3,7
5f1b00940745020017549db1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,3,0
